#Time	Lat	Lon	Alt	Sat
10:26:55	49.296753	15.14985767	20709.2	7
10:27:11	49.296696	15.15042717	20830.7	8
10:27:28	49.29666333	15.1512695	20991.8	7
10:27:44	49.29662267	15.15172733	21096.8	8
10:28:00	49.296582	15.1520365	21180.5	6
10:27:44	49.29662267	15.15172733	21096.8	8
10:28:16	49.29626467	15.15284633	21251.8	6
10:28:33	49.29571133	15.15287483	21429.4	7
10:28:49	49.29494633	15.15400383	21618.7	9
10:29:05	49.29409183	15.15538933	21770.8	6
10:29:21	49.29270833	15.15709633	21857.6	9
10:29:37	49.29128417	15.1579305	22006.0	8
10:29:54	49.290389	15.15835983	22110.8	9
10:30:10	49.28928217	15.15859983	22223.5	7
10:30:26	49.288558	15.15904133	22381.6	7
10:30:42	49.2877035	15.15907383	22501.3	7
10:30:58	49.28715817	15.15889483	22626.6	8
10:31:15	49.28634433	15.15980633	22779.4	9
10:31:31	49.28527833	15.16067917	22910.2	6
10:31:47	49.28403317	15.16122633	23038.2	7
10:32:03	49.2829345	15.16154383	23159.6	7
10:32:20	49.282194	15.16165167	23303.0	9
10:32:36	49.28102217	15.161617	23423.9	7
10:32:52	49.28015133	15.161499	23549.7	8
10:33:08	49.27958167	15.16130567	23671.6	8
10:33:24	49.2792155	15.16110633	23809.8	8
10:33:41	49.27893067	15.16051633	23954.7	8
10:33:57	49.27915033	15.160555	24073.3	9
10:34:13	49.27928067	15.1608745	24228.2	9
10:34:29	49.27904467	15.16119583	24354.1	7
10:34:45	49.27884117	15.1620625	24479.3	7
10:35:02	49.278475	15.1631795	24603.0	8
10:35:18	49.27825517	15.1646485	24534.9	9
10:35:34	49.27725417	15.166683	24644.7	8
10:35:50	49.27677417	15.16754967	24795.4	7
10:36:07	49.2764485	15.16865633	25088.9	8
10:36:23	49.276823	15.16979367	25245.7	7
10:36:39	49.27673333	15.17120967	25393.5	8
10:36:55	49.27666833	15.17293083	25551.3	8
10:37:11	49.27634283	15.17409667	25686.2	6
10:37:28	49.27528483	15.17507733	25850.7	8
10:37:44	49.27386067	15.176066	25983.3	8
10:38:00	49.27254233	15.176888	26090.4	6
10:38:16	49.27115067	15.17678017	26226.4	7
10:38:32	49.27102867	15.17692667	26334.6	8
10:38:49	49.27079267	15.17673333	26500.5	7
10:39:05	49.27071933	15.175824	26629.7	6
10:39:21	49.2706055	15.17586067	26594.0	8
10:39:37	49.27086583	15.17510167	26774.9	5
10:39:54	49.27037767	15.17533983	26996.8	9
10:40:10	49.269458	15.17565917	27124.9	9
10:40:26	49.26872567	15.17533567	27254.7	7
10:40:42	49.26776533	15.17540483	27433.3	8
10:40:58	49.267928	15.17565517	27573.0	7
10:41:15	49.2681885	15.1757975	27755.4	6
10:41:31	49.26868483	15.17553717	27759.5	6
10:41:47	49.2693685	15.17539267	27961.0	8
10:42:03	49.27100417	15.17403967	27943.6	6
10:42:19	49.269694	15.177004	28271.9	9
10:42:36	49.27079267	15.1781575	28405.0	6
10:42:52	49.27077633	15.1798075	28546.7	8
10:43:08	49.27099617	15.18118083	28532.8	7
10:43:24	49.27115883	15.18232217	28509.9	5
10:43:41	49.27164717	15.18191533	28812.8	6
10:43:57	49.27194817	15.1828715	29094.8	8
10:44:13	49.27259117	15.18460283	29226.3	8
10:44:29	49.27235517	15.18700967	29425.7	9
10:44:45	49.2727865	15.1887635	29577.8	5
10:45:02	49.27377117	15.19042567	29617.4	5
10:45:18	49.272111	15.192157	29911.3	6
10:45:34	49.27210283	15.19353633	30060.1	8
