_sentence,_receivers,time,latitude,longitude,altitude,temperature_internal,battery
"$$LetFik3,09:43:21,49.8254871368,14.9795794487,14085,5.857888,9.95492614746*8A0E",LetFik3,09:43:21,49.8254871368,14.9795794487,14085.0,5.857888,9.95492614746
"$$LetFik3,09:45:51,49.8201227188,15.0179028511,14752,7.572058,10.0052729004*8FB1",LetFik3,09:45:51,49.8201227188,15.0179028511,14752.0,7.572058,10.0052729004
"$$LetFik3,09:48:21,49.8150157928,15.0577282906,15316,3.286633,9.94119521484*D736",LetFik3,09:48:21,49.8150157928,15.0577282906,15316.0,3.286633,9.94119521484
"$$LetFik3,09:50:51,49.8066687584,15.1006007195,15930,3.629467,9.95034916992*189E",LetFik3,09:50:51,49.8066687584,15.1006007195,15930.0,3.629467,9.95034916992
"$$LetFik3,09:53:21,49.7992229462,15.1457047462,16561,2.600965,9.94577219238*2BD4",LetFik3,09:53:21,49.7992229462,15.1457047462,16561.0,2.600965,9.94577219238
"$$LetFik3,09:55:51,49.7906184196,15.1953148842,17206,2.943799,7.53828200684*15B1",LetFik3,09:55:51,49.7906184196,15.1953148842,17206.0,2.943799,7.53828200684
"$$LetFik3,09:58:21,49.7823572159,15.247027874,17785,3.629467,9.84050170898*625A",LetFik3,09:58:21,49.7823572159,15.247027874,17785.0,3.629467,9.84050170898
"$$LetFik3,10:00:51,49.7699761391,15.2991056442,18352,4.315135,9.93204125977*53E4",LetFik3,10:00:51,49.7699761391,15.2991056442,18352.0,4.315135,9.93204125977
"$$LetFik3,10:03:21,49.7585821152,15.3519773483,18930,4.315135,9.94119521484*AF01",LetFik3,10:03:21,49.7585821152,15.3519773483,18930.0,4.315135,9.94119521484
"$$LetFik3,10:05:51,49.7484326363,15.4182815552,19526,0.886795,9.73523122559*793F",LetFik3,10:05:51,49.7484326363,15.4182815552,19526.0,0.886795,9.73523122559
"$$LetFik3,10:08:21,49.7358369827,15.4880189896,20102,2.086714,9.8771175293*8F6C",LetFik3,10:08:21,49.7358369827,15.4880189896,20102.0,2.086714,9.8771175293
"$$LetFik3,10:10:51,49.7219324112,15.557820797,20739,1.915297,9.90457939453*7F62",LetFik3,10:10:51,49.7219324112,15.557820797,20739.0,1.915297,9.90457939453
"$$LetFik3,10:13:22,49.7061610222,15.6317639351,21243,1.74388,9.86796357422*F442",LetFik3,10:13:22,49.7061610222,15.6317639351,21243.0,1.74388,9.86796357422
"$$LetFik3,10:15:51,49.6900463104,15.7108139992,21873,1.058212,9.76269309082*D19B",LetFik3,10:15:51,49.6900463104,15.7108139992,21873.0,1.058212,9.76269309082
"$$LetFik3,10:18:21,49.6745753288,15.7947778702,22430,2.772382,9.81761682129*A3AE",LetFik3,10:18:21,49.6745753288,15.7947778702,22430.0,2.772382,9.81761682129
