Time, Sigfox_message, Upload_status
2018-01-26 18:40:44.658849,23b8170a14ef00e406bc08c4,Created
2018-01-26 18:43:17.954807,23b8180a14ef00e006ce0880,Created
2018-01-26 18:45:42.074087,23b8170a14ef00e506d008b3,Created
2018-01-26 18:48:14.946913,23b8170a14ef00e706d508bc,Created
2018-01-27 00:26:45.653223,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:42:04.782489,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:42:06.071083,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:42:07.262030,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:42:07.998993,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:42:08.843710,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:42:09.505105,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:42:10.655950,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:42:12.402342,23a0fc0a3c1300f606c20993,Created
2018-01-27 00:53:39.499910,23a0fc0a3c1300f606c20993,Created
2018-01-27 07:23:23.039416,0000000000000000069008e7,Created
2018-01-27 07:25:52.573377,235a730a058b01ca06a308b6,Created
2018-01-27 07:28:26.203872,235a730a058b01cd06a808b8,Created
2018-01-27 07:30:52.196304,235a670a059b01bb06b10871,Created
2018-01-27 07:33:22.914338,235a600a059b01c806b708a1,Created
2018-01-27 07:35:52.278357,235a690a059901cf06b308a9,Created
2018-01-27 07:38:24.357218,235a6b0a059301c306c708ad,Created
2018-01-27 07:40:52.481296,235a670a059801b206c00857,Created
2018-01-27 07:43:22.790959,235a640a059b01d206cb08ab,Created
2018-01-27 07:45:52.481359,235a670a059401d006c308af,Created
2018-01-27 07:48:22.338812,235a670a058f01d306c108b0,Created
2018-01-27 07:50:52.704564,235a640a058f01e106bc0894,Created
2018-01-27 07:53:22.454435,235a640a059101db06ba08a2,Created
2018-01-27 07:55:52.817115,235a660a058e01c506c108ab,Created
2018-01-27 07:58:22.335718,235a690a058d01c806bd08a4,Created
2018-01-27 08:00:52.397672,235a660a059101bb06bc0896,Created
2018-01-27 08:03:22.227718,235a640a059101b606c508a7,Created
2018-01-27 08:05:52.545156,235a630a059001b706c208af,Created
2018-01-27 08:08:22.203972,235a670a059301c606c308b1,Created
2018-01-27 08:10:55.000721,235a670a059201cb06be08aa,Created
2018-01-27 08:13:22.170697,235a640a059301c006b608b0,Created
2018-01-27 08:15:54.534682,235a640a059101bd06c308a9,Created
2018-01-27 08:18:22.746101,235a650a058f01b606b208ae,Created
2018-01-27 08:20:55.920099,235a660a058a01c006c808a7,Created
2018-01-27 08:23:22.216248,235a650a058801c906c508a9,Created
2018-01-27 08:25:52.610815,235a6c0a058801da06b408ac,Created
2018-01-27 08:28:22.753864,235a670a058801c706b908b5,Created
2018-01-27 08:30:52.730845,235a650a058801c306b808ac,Created
2018-01-27 08:33:22.171182,235a6f0a059101e906b908b4,Created
2018-01-27 08:35:52.386385,235a670a059001d906b708ab,Created
2018-01-27 08:38:22.663586,235a630a058e01c706bd06bd,Created
2018-01-27 08:40:52.133721,235a670a058a01cd06b508a7,Created
2018-01-27 08:43:22.359596,235a690a059001dc06be08b7,Created
2018-01-27 08:45:52.914034,235a6f0a059101cb06bf08a7,Created
2018-01-27 08:48:22.475151,235a890a059801d206bf0869,Created
2018-01-27 08:50:52.105682,2359b40a05a503c606ba08a5,Created
2018-01-27 08:53:22.259289,2358890a049405dd06cf08ae,Created
2018-01-27 08:55:52.063428,23580b0a053d081b06bd08a5,Created
2018-01-27 08:58:22.847078,2358b10a06c00a8306be0868,Created
2018-01-27 09:00:52.266676,23591a0a0aa90cf506cd08ae,Created
2018-01-27 09:03:22.138248,235a400a0fa30f8606cb08b1,Created
2018-01-27 09:05:52.129372,235b3f0a1508124906c508b4,Created
2018-01-27 09:08:22.065231,235ce90a1abb151206c208a0,Created
2018-01-27 09:10:52.096532,235f050a216b17da06c708a8,Created
2018-01-27 09:13:22.069843,2360490a294d1a8806b608a5,Created
2018-01-27 09:15:52.043614,23621a0a32761d3906c308a2,Created
2018-01-27 09:18:22.048506,23635d0a3c0a1f9906b6088f,Created
2018-01-27 09:20:52.124101,2365ac0a48ac221206ba089c,Created
2018-01-27 09:23:22.023893,2368c20a585a246b06a008a0,Created
2018-01-27 09:25:52.170708,236b460a674f269b06a3089d,Created
2018-01-27 09:28:22.093051,236e020a7436291406a1088f,Created
2018-01-27 09:30:52.742167,236f9a0a7e502b8f06970890,Created
2018-01-27 09:33:22.246094,2370560a86912e1e069b0898,Created
2018-01-27 09:35:52.585529,23703b0a8e9b306a0690089c,Created
2018-01-27 09:38:22.203055,236fd40a96f732c10688087e,Created
2018-01-27 09:40:52.186168,236f270a9ee234b1068d0891,Created
2018-01-27 09:43:22.065388,236e740aa6f337050680087f,Created
2018-01-27 09:45:52.032354,236d7a0aaded39a0068a088a,Created
2018-01-27 09:48:22.002034,236c8c0ab52d3bd40671087c,Created
2018-01-27 09:50:52.029980,236b070abcfb3e3a0673087e,Created
2018-01-27 09:53:22.098701,2369ac0ac53140b1066d087d,Created
2018-01-27 09:55:52.146004,23681b0ace394336066f066f,Created
2018-01-27 09:58:22.120810,23669a0ad7a3457906730866,Created
2018-01-27 10:00:52.097212,2364590ae11e47b00677087a,Created
2018-01-27 10:03:22.121339,2362460aeabe49f20677087c,Created
2018-01-27 10:05:51.967558,23606d0af6d04c460663084f,Created
2018-01-27 10:08:22.143172,235e220b03824e86066a086e,Created
2018-01-27 10:10:52.042612,235b9a0b1037510306690874,Created
2018-01-27 10:13:22.531662,2358bb0b1dad52fb0668086c,Created
2018-01-27 10:15:51.959153,2355cc0b2c11557106640855,Created
2018-01-27 10:18:22.101440,2352fb0b3b5a579e066e0861,Created
2018-01-27 10:20:51.970249,23509a0b4cf25a850656086c,Created
2018-01-27 10:23:21.940840,234e7d0b5f135c6b065b086b,Created
2018-01-27 10:25:52.034053,234d370b71955f250662084d,Created
2018-01-27 10:28:21.938831,234b650b862c61e30656085d,Created
2018-01-27 10:30:52.095668,234a650b9b1a642b065e086e,Created
2018-01-27 10:33:21.947834,2349810bb21166cd06650872,Created
2018-01-27 10:35:52.589562,2348d90bc9af69220665085d,Created
2018-01-27 10:38:21.971526,2348250be2756c2706570864,Created
2018-01-27 10:40:52.097907,2348140bfc936e7306680870,Created
2018-01-27 10:43:22.301688,2346de0c17ea713e0656086c,Created
2018-01-27 10:45:52.150059,2346640c34e573680668085d,Created
2018-01-27 10:48:21.929367,23463a0c536a765906640861,Created
2018-01-27 10:50:52.349167,23479e0c720578b60659086c,Created
2018-01-27 10:53:21.932144,234a1e0c91df7ab4066d0876,Created
2018-01-27 10:55:51.965060,234cf60cb2317c6306610857,Created
2018-01-27 10:58:22.100983,23514a0cd2f17ece0662086f,Created
2018-01-27 11:00:51.903543,2352a40cf663807806630871,Created
2018-01-27 11:03:22.008777,23547b0d1a7582170672087c,Created
2018-01-27 11:05:51.925149,2356c90d3e56838c0670086c,Crea
